Serviço|Categoria|Descrição da requisição|Prioridade|Horário de atendimento|Tempo de solução|Público-alvo|Termo de Uso
Equipamentos e Infraestrutura de TI para eventos|Preparação de ambiente para eventos|Solicitação de preparação de infraestrutura de TIC, podendo incluir equipamentos, periféricos, preparação de ambiente e suporte técnico para eventos, concursos e demais ações temporárias.|Média|08:00 às 12:0014:00 às 18:00|5 dias|Servidor|Termos de uso  O requerente deverá informar no registro do chamado o nome do servidor que ficará responsável pelo acautelamento dos bens; Deve ser registrado ser realizado o registro de solicitação com no mínimo 5 dias de antecedência; O fornecimento dos equipamentos é dependente da disponibilidade; O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Dados Abertos|Publicação de dados|Requisição de publicação ou de atualização de dados no Portal Dados Abertos, conforme Plano de Dados Abertos vigente.|Média|08:00 às 12:0014:00 às 18:00|12 Horas|Servidor|Termos de uso  O requerente deve informar o gestor da macrounidade responsável pelos dados a serem publicados; O requerente deve enviar um dicionário de dados correspondente; Quando a origem dos dados for uma base mantida pela Coordenadoria de TI, o requerente deve descrever os critérios de exportação de dados. O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Dúvidas sobre serviço de TI|Dúvidas sobre o serviço|Informações gerais sobre o funcionamento do serviço TI|Média|08:00 às 12:0014:00 às 18:00|4 Horas|Comunidade Acadêmica|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Dúvidas sobre sistemas|Dúvidas sobre sistema|Informações gerais sobre o sistemas|Média|08:00 às 12:0014:00 às 18:00|4 Horas|Comunidade Acadêmica|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Impressão|Gestão da cota de impressão|Solicitação de adequação da cota de impressão da unidade nos termos da Resolução 01/2020/CGTIC.|Baixa|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Impressão|Relatório de consumo da unidade|Solicitação de exportação do relatório de impressão da unidade nos termos da Resolução 01/2020/CGTIC.|Baixa|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Impressão|Substituição de tonner|Solicitação de substituição de tonner de impressora.|Alta|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Material de apoio para serviços|Material de apoio para serviços|Criação de tutoriais para auxílio aos usuários do serviço: técnicos, professores, tutores e alunos, quanto ao uso da plataforma Moodle ou SIG, e suas diversas interações e recursos.|Média|08:00 às 12:0014:00 às 18:00|5 dias|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Ponto de acesso|Habilitação de ponto de acesso à rede|Requisitar instalação, alteração ou remoção de um ponto de rede lógico ou disponibilização de rede wireless, conforme disponibilidade da infraestrutura predial.|Média|08:00 às 12:0014:00 às 18:00|24 horas|Servidor|Termos de uso  A habilitação está condicionada à disponibilidade da infraestrutura; O requerente deve informar o uso pretendido do ponto administrativo; equipamento de pesquisa; ou acesso à rede acadêmica. O acesso à rede administrativa é restrito a estações de trabalho institucionais (adquiridas e configuradas pela Unila); O equipamento a ser utilizado deve estar disponível no local quando do atendimento da solicitação; O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Portal EaD - Ambiente virtual|Importação de alunos em lote|Requisição de inserção de alunos em lote nas turmas Moodle.|Alta|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Publicação de Periódicos|Criação ou remoção de revista|Solicitação de criação ou despublicação de periódicos.|Baixa|08:00 às 12:0014:00 às 18:00|12 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
SIG - Alteração ou exportação de dados|Alteração ou inclusão de dados|Requisição de atualização ou inclusão de dados no SIG, que não são possíveis de edição ou inserção via sistema. A solicitação deve ser feita por representante da área de negócio responsável pelo dado.|Média|08:00 às 12:0014:00 às 18:00|12 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
SIG - Alteração ou exportação de dados|Exportação de dados|Requisição de exportação de dados de sistemas institucionais em formato editável. A solicitação pode ser feita por representante da área de negócio responsável pelo dado.|Média|08:00 às 12:0014:00 às 18:00|12 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
SIG - Cadastro de questionário|Cadastro de questionário|Requisição de cadastro de questionário no sistema SIG, a ser disponibilizado para preenchimento pela comunidade acadêmica.|Média|08:00 às 12:00 14:00 às 18:00|24 horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
SIG - Cadastro de eleição|Cadastro de eleição|Requisição de cadastro de eleições no sistema SIGEleição, para eleições institucionais com edital devidamente publicado.|Alta|08:00 às 12:00 14:00 às 18:00|12 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Sites institucioais|Criação de site institucional|Solicitação de criação de site institucional destinado exclusivamente à divulgação de conteúdo informacional acadêmico, administrativo e de interesse institucional da UNILA. É regulamentado pela Resolução nº 3/2022/CGD, que estabelece as normas de utilização do serviço de hospedagem de sites institucionais.|Média|08:00 às 12:00 14:00 às 18:00|30 dias|Servidor|Termos de uso  O serviço é normatizado pela Resolução CGD 03/2022; Estão autorizados a requisitar o serviço: Portais: a Secretaria de Comunicação Social; Sites de divulgação de produção científica e acadêmica: docentes do quadro efetivo da UNILA, na função de líderes de grupos de pesquisa, coordenadores(as) de projetos ou ações de ensino, pesquisa e extensão, ativos e devidamente registrados na Pró-reitoria de Pesquisa e Pós-graduação, Pró-reitoria de Extensão ou Pró-reitoria de Graduação, e coordenadores(as) de laboratórios de pesquisa, devidamente cadastrados na Secretaria de Apoio Científico e Tecnológico; Hotsites: a Secretaria de Comunicação Social e servidores(as) do quadro efetivo da UNILA que exerçam função de coordenador(a) de evento. Parágrafo único. Os eventos relacionados no inciso III, devem ter anuência do gestor da macrounidade ao qual o evento está vinculado. O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
